t,r,r_hold,vel_r_measured,v_r,v_theta,vel_theta,v_z,vel_z
10.689205639999273,11.46687248695589,11.46687248695589,-0.01031767657105399,0.0,0.0,-0.013894814985188261,0.0,8.582208829466254e-05
10.75080871099999,11.467027514711226,11.46687248695589,-0.010292343181750213,0.0,0.0,-0.01390017732803353,0.0,8.88175709405914e-05
10.782056389998615,11.467079063979117,11.46687248695589,-0.010263046204110253,0.0,0.0,-0.013895388800895431,0.0,3.693498729262501e-05
10.844381831000646,11.467048852059962,11.46687248695589,-0.010203919811384238,0.0,0.0,-0.013879452977764006,0.0,-5.888649320695549e-05
10.907324553998478,11.467106122819674,11.46687248695589,-0.010087791463588559,0.0,0.0,-0.013797053516656332,0.0,-7.272933726198971e-05
10.938016525000421,11.467234262399145,11.46687248695589,-0.010046769026346858,0.0,0.0,-0.013808336287899164,0.0,-7.53726126276888e-05
11.00013877499805,11.467273614148452,11.46687248695589,-0.010022328816863432,0.0,0.0,-0.01388545391857153,0.0,-0.00014153002121020108
11.03203854199819,11.467222293091105,11.46687248695589,-0.009939379457426286,0.0,0.0,-0.013844313043729758,0.0,-0.00013594060146715492
11.092586660997767,11.467255947055552,11.46687248695589,-0.00980975926865278,0.0,0.0,-0.013731281961882157,0.0,-7.508707494707778e-05
11.156505287999607,11.46738058829784,11.46687248695589,-0.009668093168126706,0.0,0.0,-0.013725891999181384,0.0,-0.00010372958786319941
11.187336759998288,11.467381235848475,11.46687248695589,-0.009548156536216526,0.0,0.0,-0.013838364206636778,0.0,-0.00013656260853167623
11.250677396998071,11.467300304924413,11.46687248695589,-0.009408691274196605,0.0,0.0,-0.013820649891075659,0.0,-0.00012880944996140897
11.281013420997624,11.4673020638301,11.46687248695589,-0.009195059914778255,0.0,0.0,-0.01376722676096008,0.0,-0.0001730519434204325
11.344386859000224,11.467359054325348,11.46687248695589,-0.0090536464196758,0.0,0.0,-0.013876882440319104,0.0,-0.00016317366680596024
11.407014123000408,11.467410015061015,11.46687248695589,-0.008980688653566223,0.0,0.0,-0.013957188987460163,0.0,-0.0005643383483402431
11.437517239999579,11.46728027342204,11.46687248695589,-0.008851775619642227,0.0,0.0,-0.014091055153416984,0.0,-0.0005388780846260488
11.500258317999396,11.467241366266483,11.46687248695589,-0.008706379925318811,0.0,0.0,-0.014082563158827595,0.0,-0.0004565203853417188
11.531591095001204,11.467275804418597,11.46687248695589,-0.008637852944273394,0.0,0.0,-0.014178860820412698,0.0,-0.0005264514475129545
11.59311252399857,11.467349842231721,11.46687248695589,-0.008576638560928196,0.0,0.0,-0.014273138481003728,0.0,-0.00050638074753806
11.654430398997647,11.467399364669344,11.46687248695589,-0.00854825073126085,0.0,0.0,-0.014386936326540138,0.0,-0.00047585833817720413
11.686706259999482,11.46751584545289,11.46687248695589,-0.008494856546721864,0.0,0.0,-0.014318073710216667,0.0,-0.0004887746181339025
11.75042076599857,11.467686701521103,11.46687248695589,-0.008502548676402915,0.0,0.0,-0.014329554177432402,0.0,-0.0005140498396940529
11.781407835998834,11.467869210586148,11.46687248695589,-0.008517388618346928,0.0,0.0,-0.014360563702659451,0.0,-0.0005383607931435108
11.843986948999373,11.46797977147567,11.46687248695589,-0.0085045017664267,0.0,0.0,-0.014406672817333746,0.0,-0.0005827110726386309
11.90718471999935,11.468139234405431,11.46687248695589,-0.008347081793332009,0.0,0.0,-0.014282235534920772,0.0,-0.0005353809683583677
11.93855909299964,11.468333343745197,11.46687248695589,-0.008161498814629901,0.0,0.0,-0.014250953090280056,0.0,-0.0005138309206813574
12.000218359000428,11.46851595711296,11.46687248695589,-0.007978193744472926,0.0,0.0,-0.01426154227390493,0.0,-0.0004957746132276952
12.030505362999975,11.46859263837957,11.46687248695589,-0.007825497887122562,0.0,0.0,-0.014220485119504777,0.0,-0.0005075933877378702
12.092778686001111,11.468708704264538,11.46687248695589,-0.007508543494510259,0.0,0.0,-0.014061600522564353,0.0,-0.0005179370637051761
12.15726790899862,11.468850990478996,11.46687248695589,-0.007196071416023204,0.0,0.0,-0.013976004873743429,0.0,-0.0005247468943707645
12.186933311000757,11.468965754750943,11.46687248695589,-0.006875545063698845,0.0,0.0,-0.013976460942048023,0.0,-0.0004036555765196681
12.250336655000865,11.46894805666075,11.46687248695589,-0.0065740636632362175,0.0,0.0,-0.013931627934806222,0.0,-0.000551527482457459
12.280727291999938,11.468968039422931,11.46687248695589,-0.006157959113547053,0.0,0.0,-0.01378184060419802,0.0,-0.0006709377048537135
12.342568215997744,11.4690143548562,11.46687248695589,-0.005752691510555371,0.0,0.0,-0.013701921084994389,0.0,-0.0006619721534661949
