t,radius,set_speed_r,set_speed_r_filtered,meas_speed_r,acc_cmd_r,set_speed_theta,meas_speed_theta,acc_cmd_theta,set_speed_z,meas_speed_z,acc_cmd_z,acc_x,acc_y,acc_z,pub_vel_x,pub_vel_y,pub_vel_z,pid_r_P,pid_r_I,pid_r_D,pid_vtheta_P,pid_vtheta_I,pid_vtheta_D,pid_z_P,pid_z_I,pid_z_D,yaw_enu,yaw_target,error_yaw,total_yaw_err,yaw_rate,drone_z,target_z,r_lock_position,r_lock_active,r_pid_P,r_pid_I,r_pid_D,z_lock_position,z_lock_active,z_pid_P,z_pid_I,z_pid_D,theta_actual,theta_target,theta_lock_position,theta_lock_active,theta_pid_P,theta_pid_I,theta_pid_D,dt
160.1008283120001,8.690840468305664,-0.0,-0.0,-0.004209385466197935,-0.07054832405610481,-0.0,-0.02967553648531526,0.06728581802311957,0.0,0.04605502635240555,-0.14650583277677054,0.059129778929495794,0.07751204150268845,-0.14650583277677054,0.0,0.0,0.0,0.010176819860886253,0.00019599248083765564,-0.08102246577660432,0.06607155807738284,0.0012286332129067352,-0.0,-0.026703260766357984,-0.0,-0.11980257201041254,1.4083061734342248,-1.4607357534028351,-2.8690419268370597,-2.8690419268370597,-4.367415672464282,5.93505859375,0.0,8.69067809022705,1,3.2475615722660225e-05,1.623780786133011e-08,0.000383949889765295,5.93405818939209,1,-0.00030012130737304686,-1.0004043579101562e-07,0.0018498130896177456,-1.4607357534028351,1.5707963267948966,-1.4608119436004563,1,4.571411857270391e-05,1.5238039524234637e-08,0.00031126055688289076,0.03987320299995645
160.20131966400004,8.6910521613493,-0.0,-0.0,-0.0038973578969851534,0.013629724434123873,-0.0,-0.026604727187716143,0.0653006441461442,0.0,0.03225943446159363,0.020778458166084673,0.06640449769653577,-0.006355013746821177,0.020778458166084673,0.0,0.0,0.0,0.009903562868733727,0.0009274113129104282,0.0027173088463539373,0.0606590345357967,0.004653540058085843,-0.0,-0.01699227317417311,-0.0,0.03777073134025778,1.4062117783318318,-1.4604388116042404,-2.8666505899360724,-2.8666505899360724,-4.690610489662807,5.935666561126709,0.0,8.69067809022705,1,7.48142244496819e-05,4.8864897862740445e-06,0.0005245608745669484,5.93405818939209,1,-0.0004825115203857422,-1.7556697220988673e-05,0.004439047388911846,-1.4604388116042404,1.5707963267948966,-1.4608119436004563,1,0.00022387919772954844,6.506665505717688e-06,0.0007371753744107265,0.04000583300000926
160.30086938600004,8.69042462914376,-0.0,-0.0,0.0009780793714906618,-0.04242154501085738,-0.0,-0.04253327371265257,0.10473381447500743,0.0,0.04451749473810196,-0.07138977104069658,0.09941065216226824,0.05372412504886409,-0.07138977104069658,0.0,0.0,0.0,-0.0015074499817925586,0.0010936562787751598,-0.042215920580334285,0.09677233554474107,0.007956691946960527,0.0,-0.023890711955779506,-0.0,-0.04749905908491706,1.4048155149302355,-1.460178070681259,-2.8649935856114945,-2.8649935856114945,-4.6874683679338585,5.935454845428467,0.0,8.69067809022705,1,-5.069221665827684e-05,4.289735351510953e-06,0.000339277315618992,5.93405818939209,1,-0.0004189968109130859,-2.831873346924326e-05,0.005146957022851781,-1.460178070681259,1.5707963267948966,-1.4608119436004563,1,0.00038032375151835217,1.5493829137542453e-05,0.0010583339543011098,0.04009294500008309
160.40130231199998,8.688961836052176,-0.0,-0.0,-0.00013263283003331003,0.008225669504013202,-0.0,-0.04201019836954547,0.1102580973250475,0.0,0.020581865683197975,0.044970577354573577,0.11049027269717455,0.004050839892281747,0.044970577354573577,0.0,0.0,0.0,-0.0003002954542038034,0.001001052191598298,0.007321797964143017,0.09692721449498022,0.013331524095572317,-0.0,-0.009455213061697134,-0.0,0.05442579041627071,1.4027211198278424,-1.4596845076610234,-2.862405627488866,-2.862405627488866,-4.683061895295682,5.93239164352417,0.0,8.69067809022705,1,-0.0003432508349749952,-9.086180833749144e-06,8.320625204643279e-05,5.93405818939209,1,0.0004999637603759766,-1.729880389841606e-05,0.004340512290558523,-1.4596845076610234,1.5707963267948966,-1.4608119436004563,1,0.0006764615636597249,3.8279563447782176e-05,0.0013328852737925763,0.04000029700000596
160.50344523800004,8.687375586307049,-0.0,-0.0,0.0016694849222730285,0.061841416548906715,-0.0,-0.043685013649487445,0.11881893842822017,0.0,0.0235905721783638,-0.0025559255996251886,0.12496153916021072,-0.048238103825665575,-0.0025559255996251886,0.0,0.0,0.0,-0.0056555203452524445,0.0005528002744398496,0.06672446378543276,0.10147132793128304,0.017339215387172088,-0.0,-0.010974485121230422,-0.0,0.008418559521605234,1.401673922276646,-1.4593089770260639,-2.8609828993027095,-2.8609828993027095,-4.683920861903734,5.9296393394470215,0.0,8.69067809022705,1,-0.0006605007840004618,-3.2029424900511024e-05,-0.00020867593484983688,5.93405818939209,1,0.0013256549835205078,1.4310355053838898e-05,0.0039597983044054146,-1.4593089770260639,1.5707963267948966,-1.4608119436004563,1,0.0009017799446354502,6.059253902537303e-05,0.001475944744707655,0.039999370000032286
160.6013762560001,8.684965897276633,-0.0,-0.0,0.0014800941572801528,0.0877380561659189,-0.0,-0.03761967338555928,0.11227723673399728,0.0,0.010342332534492016,0.06735574958897883,0.12137691833798553,-0.07464441093055796,0.06735574958897883,0.0,0.0,0.0,-0.007277489206298065,-0.000567865577670314,0.09542045811364414,0.08898150174575398,0.023289323833676278,-0.0,-0.0025435615357967804,-0.0,0.06989931112477561,1.40045219180025,-1.4588362812915534,-2.8592884730918033,-2.8592884730918033,-4.683645899021813,5.92458963394165,0.0,8.69067809022705,1,-0.0011424385900834723,-9.110230869750462e-05,-0.000594314583165263,5.93405818939209,1,0.0028405666351318357,0.0001113689579598183,0.0031511277150723946,-1.4588362812915534,1.5707963267948966,-1.4608119436004563,1,0.0011853973853417354,0.00010374624070368044,0.0015373201455562023,0.040064148000055866
160.70089944100005,8.683918999019827,-0.0,-0.0,0.010699458248647325,0.006165939349402504,-0.0,-0.0526842204737046,0.1509049957316241,0.0,0.03398621827363968,-0.02975791428719323,0.15064526666914402,0.010786110281490919,-0.02975791428719323,0.0,0.0,0.0,-0.028956300190330683,-0.0016669307723701818,0.036469541917684305,0.1230066294567407,0.027833454036827694,-0.0,-0.015842804587375126,-0.0,-0.013915109699818103,1.4006267247254494,-1.458481878366641,-2.85910860309209,-2.85910860309209,-4.684730050098807,5.923141956329346,0.0,8.69067809022705,1,-0.0013518182414447466,-0.0001427714587185245,-0.0009679066831578951,5.93405818939209,1,0.003274869918823242,0.00019880081795206983,0.00410787322457249,-1.458481878366641,1.5707963267948966,-1.4608119436004563,1,0.0013980391402892423,0.00013933878043445808,0.0016905059040901933,0.039894426000046224
160.80137053400006,8.68193259246937,-0.0,-0.0,0.007753630432502749,-0.009427034352776113,-0.0,-0.03682895732808329,0.12155091872380802,0.0,0.03033386543393135,0.009086190550952802,0.11971998582904653,0.02303518639783722,0.009086190550952802,0.0,0.0,0.0,-0.02326302684247673,-0.0026510467062025853,0.016330809913606047,0.08836821976371242,0.033149807881836815,-0.0,-0.012481655893703543,-0.0,0.021567846444656345,1.4020229881270447,-1.4581117944304383,-2.860134782557483,-2.860134782557483,-4.688326972891172,5.918248653411865,0.0,8.69067809022705,1,-0.001749099551536304,-0.00024115695738558625,-0.0008302161687920564,5.93405818939209,1,0.004742860794067383,0.0003772583004052926,0.004410986516619439,-1.4581117944304383,1.5707963267948966,-1.4608119436004563,1,0.001620089502010824,0.00020088977489859488,0.0015174360148765712,0.039940721999983
160.90089462600008,8.68173828389807,-0.0,-0.0,0.004838488595671,-0.07067528230799953,-0.0,-0.03970677631699834,0.13079982606248156,0.0,0.06801185011863708,-0.1363653377873423,0.12201128030866512,0.08495197175305118,-0.1363653377873423,0.0,0.0,0.0,-0.01658979857817673,-0.0030803925249912787,-0.05118669401684122,0.09464509627149861,0.036132600491746075,0.0,-0.03307855135373673,-0.0,-0.10328678643360557,1.4028956527530418,-1.4579726283808696,-2.8608682811339117,-2.8608682811339117,-4.691448536507058,5.914525508880615,0.0,8.69067809022705,1,-0.0017879612657960564,-0.0003118809462829798,-0.0006024867277848413,5.93405818939209,1,0.005859804153442383,0.0005318223715589583,0.006489304670741183,-1.4579726283808696,1.5707963267948966,-1.4608119436004563,1,0.0017035891317520146,0.00024535035716292405,0.0013647824993133567,0.04014992599991274
161.00347688500005,8.67992479838903,-0.0,-0.0,0.001837748018255919,-0.024375060847671395,-0.0,-0.02393232314029838,0.09934756343552475,0.0,0.07057483494281769,-0.05941779829138395,0.09596619887817628,0.035419918475027845,-0.05941779829138395,0.0,0.0,0.0,-0.010364088556060835,-0.0034938722697155514,-0.01058308631834287,0.05965781241176851,0.03968468397761877,-0.0,-0.0328015730499122,-0.0,-0.026616225241471756,1.4042919161546372,-1.4578180413511788,-2.862109957505816,-2.862109957505816,-4.6958326117519436,5.911328315734863,0.0,8.69067809022705,1,-0.002150658367604308,-0.0004330673519683791,-0.00028947560583540976,5.93405818939209,1,0.006818962097167969,0.0007979525259002104,0.008288631903229175,-1.4578180413511788,1.5707963267948966,-1.4608119436004563,1,0.0017963413495665215,0.0003161888195984001,0.0010723341504314773,0.04011077699999532
